fragment,api,relevance
"How to efficiently iterate over each Entry in a Map? 

If I have an object implementing the `Map` interface in Java and I wish to iterate over every pair contained within it, what is the most efficient way of going through the map? 

Will the ordering of elements depend on the specific map implementation that I have for the interface?
    
    
    Map map = ...
    for (Map.Entry entry : map.entrySet())
    {
    System.out.println(entry.getKey() + ""/"" + entry.getValue());
    }",Entry,1
"How to efficiently iterate over each Entry in a Map? 

If I have an object implementing the `Map` interface in Java and I wish to iterate over every pair contained within it, what is the most efficient way of going through the map? 

Will the ordering of elements depend on the specific map implementation that I have for the interface?

Iterating a Map is very easy. 
    
    
    for(Object key: map.keySet()){
    Object value= map.get(key);
    //Do your stuff
    }
    

For instance, you have a `Map data;`
    
    
    for(Object key: data.keySet()){
    int value= data.get(key);
    }
    

Happy Coding...",Object,0
"How to efficiently iterate over each Entry in a Map? 

If I have an object implementing the `Map` interface in Java and I wish to iterate over every pair contained within it, what is the most efficient way of going through the map? 

Will the ordering of elements depend on the specific map implementation that I have for the interface?

There is a lot of ways to do this. Below is few simple steps:

Suppose you have one Map like:
    
    
    Map m = new HashMap();
    

Then you can do something like below to iterate over map elements.
    
    
    //**********using iterator ****************
    Iterator> me = m.entrySet().iterator();
    while(me.hasNext()){
    Entry pair = me.next();
    System.out.println(pair.getKey() + "":"" + pair.getValue());
    }
    //***********using foreach************************
    for(Entry me : m.entrySet()){
    System.out.println(me.getKey() +"" : ""+me.getValue());
    }
    //***********using keySet*****************************
    for(String s : m.keySet()){
    System.out.println(s +"" : ""+m.get(s));
    }
    //***********using keySet and iterator*****************
    Iterator me = m.keySet().iterator();
    while(me.hasNext()){
    String key = me.next();
    System.out.println(key +"" : ""+m.get(key));
    }",HashMap,0
"How to instantiate a Java array given an array type at runtime? 

In the Java collections framework, the Collection interface declares the following method:

> ` T[] toArray(T[] a)`
> 
> Returns an array containing all of the elements in this collection; the runtime type of the returned array is that of the specified array. If the collection fits in the specified array, it is returned therein. Otherwise, a new array is allocated with the runtime type of the specified array and the size of this collection.

If you wanted to implement this method, how would you create an array of the type of a, known only at runtime?

To create a new array of a generic type (which is only known at runtime), you have to create an array of Objects and simply cast it to the generic type and then use it as such. This is a limitation of the generics implementation of Java (erasure).
    
    
    T[] newArray = (T[]) new Object[X]; // where X is the number of elements you want.
    

The function then takes the array given (a) and uses it (checking it's size beforehand) or creates a new one.",Object,0
"Most efficient way to increment a Map value in Java 

I hope this question is not considered too basic for this forum, but we'll see. I'm wondering how to refactor some code for better performance that is getting run a bunch of times.

Say I'm creating a word frequency list, using a Map (probably a HashMap), where each key is a String with the word that's being counted and the value is an Integer that's incremented each time a token of the word is found.

In Perl, incrementing such a value would be trivially easy:
    
    
    $map{$word}++;
    

But in Java, it's much more complicated. Here the way I'm currently doing it:
    
    
    int count = map.containsKey(word) ? map.get(word) : 0;
    map.put(word, count + 1);
    

Which of course relies on the autoboxing feature in the newer Java versions. I wonder if you can suggest a more efficient way of incrementing such a value. Are there even good performance reasons for eschewing the Collections framework and using a something else instead?

Update: I've done a test of several of the answers. See below.

## Some test results

I've gotten a lot of good answers to this question--thanks folks--so I decided to run some tests and figure out which method is actually fastest. The five methods I tested are these:

  * the ""ContainsKey"" method that I presented in the question
  * the ""TestForNull"" method suggested by Aleksandar Dimitrov
  * the ""AtomicLong"" method suggested by Hank Gay
  * the ""Trove"" method suggested by jrudolph
  * the ""MutableInt"" method suggested by phax.myopenid.com



## Method

Here's what I did...

  1. created five classes that were identical except for the differences shown below. Each class had to perform an operation typical of the scenario I presented: opening a 10MB file and reading it in, then performing a frequency count of all the word tokens in the file. Since this took an average of only 3 seconds, I had it perform the frequency count (not the I/O) 10 times.
  2. timed the loop of 10 iterations but not the I/O operation and recorded the total time taken (in clock seconds) essentially using Ian Darwin's method in the Java Cookbook.
  3. performed all five tests in series, and then did this another three times.
  4. averaged the four results for each method.



## Results

I'll present the results first and the code below for those who are interested.

The ContainsKey method was, as expected, the slowest, so I'll give the speed of each method in comparison to the speed of that method.

  * ContainsKey: 30.654 seconds (baseline)
  * AtomicLong: 29.780 seconds (1.03 times as fast)
  * TestForNull: 28.804 seconds (1.06 times as fast)
  * Trove: 26.313 seconds (1.16 times as fast)
  * MutableInt: 25.747 seconds (1.19 times as fast)



## Conclusions

It would appear that only the MutableInt method and the Trove method are significantly faster, in that only they give a performance boost of more than 10%. However, if threading is an issue, AtomicLong might be more attractive than the others (I'm not really sure). I also ran TestForNull with `final` variables, but the difference was negligible.

Note that I haven't profiled memory usage in the different scenarios. I'd be happy to hear from anybody who has good insights into how the MutableInt and Trove methods would be likely to affect memory usage.

Personally, I find the MutableInt method the most attractive, since it doesn't require loading any third-party classes. So unless I discover problems with it, that's the way I'm most likely to go.

## The code

Here is the crucial code from each method.

### ContainsKey
    
    
    import java.util.HashMap;
    import java.util.Map;
    ...
    Map freq = new HashMap();
    ...
    int count = freq.containsKey(word) ? freq.get(word) : 0;
    freq.put(word, count + 1);
    

### TestForNull
    
    
    import java.util.HashMap;
    import java.util.Map;
    ...
    Map freq = new HashMap();
    ...
    Integer count = freq.get(word);
    if (count == null) {
    freq.put(word, 1);
    }
    else {
    freq.put(word, count + 1);
    }
    

### AtomicLong
    
    
    import java.util.concurrent.ConcurrentHashMap;
    import java.util.concurrent.ConcurrentMap;
    import java.util.concurrent.atomic.AtomicLong;
    ...
    final ConcurrentMap map = 
    new ConcurrentHashMap();
    ...
    map.putIfAbsent(word, new AtomicLong(0));
    map.get(word).incrementAndGet();
    

### Trove
    
    
    import gnu.trove.TObjectIntHashMap;
    ...
    TObjectIntHashMap freq = new TObjectIntHashMap();
    ...
    freq.adjustOrPutValue(word, 1, 1);
    

### MutableInt
    
    
    import java.util.HashMap;
    import java.util.Map;
    ...
    class MutableInt {
    int value = 1; // note that we start at 1 since we're counting
    public void increment () { ++value; }
    public int get () { return value; }
    }
    ...
    Map freq = new HashMap();
    ...
    MutableInt count = freq.get(word);
    if (count == null) {
    freq.put(word, new MutableInt());
    }
    else {
    count.increment();
    }",Map,1
"Most efficient way to increment a Map value in Java 

I hope this question is not considered too basic for this forum, but we'll see. I'm wondering how to refactor some code for better performance that is getting run a bunch of times.

Say I'm creating a word frequency list, using a Map (probably a HashMap), where each key is a String with the word that's being counted and the value is an Integer that's incremented each time a token of the word is found.

In Perl, incrementing such a value would be trivially easy:
    
    
    $map{$word}++;
    

But in Java, it's much more complicated. Here the way I'm currently doing it:
    
    
    int count = map.containsKey(word) ? map.get(word) : 0;
    map.put(word, count + 1);
    

Which of course relies on the autoboxing feature in the newer Java versions. I wonder if you can suggest a more efficient way of incrementing such a value. Are there even good performance reasons for eschewing the Collections framework and using a something else instead?

Update: I've done a test of several of the answers. See below.

## Some test results

I've gotten a lot of good answers to this question--thanks folks--so I decided to run some tests and figure out which method is actually fastest. The five methods I tested are these:

  * the ""ContainsKey"" method that I presented in the question
  * the ""TestForNull"" method suggested by Aleksandar Dimitrov
  * the ""AtomicLong"" method suggested by Hank Gay
  * the ""Trove"" method suggested by jrudolph
  * the ""MutableInt"" method suggested by phax.myopenid.com



## Method

Here's what I did...

  1. created five classes that were identical except for the differences shown below. Each class had to perform an operation typical of the scenario I presented: opening a 10MB file and reading it in, then performing a frequency count of all the word tokens in the file. Since this took an average of only 3 seconds, I had it perform the frequency count (not the I/O) 10 times.
  2. timed the loop of 10 iterations but not the I/O operation and recorded the total time taken (in clock seconds) essentially using Ian Darwin's method in the Java Cookbook.
  3. performed all five tests in series, and then did this another three times.
  4. averaged the four results for each method.



## Results

I'll present the results first and the code below for those who are interested.

The ContainsKey method was, as expected, the slowest, so I'll give the speed of each method in comparison to the speed of that method.

  * ContainsKey: 30.654 seconds (baseline)
  * AtomicLong: 29.780 seconds (1.03 times as fast)
  * TestForNull: 28.804 seconds (1.06 times as fast)
  * Trove: 26.313 seconds (1.16 times as fast)
  * MutableInt: 25.747 seconds (1.19 times as fast)



## Conclusions

It would appear that only the MutableInt method and the Trove method are significantly faster, in that only they give a performance boost of more than 10%. However, if threading is an issue, AtomicLong might be more attractive than the others (I'm not really sure). I also ran TestForNull with `final` variables, but the difference was negligible.

Note that I haven't profiled memory usage in the different scenarios. I'd be happy to hear from anybody who has good insights into how the MutableInt and Trove methods would be likely to affect memory usage.

Personally, I find the MutableInt method the most attractive, since it doesn't require loading any third-party classes. So unless I discover problems with it, that's the way I'm most likely to go.

## The code

Here is the crucial code from each method.

### ContainsKey
    
    
    import java.util.HashMap;
    import java.util.Map;
    ...
    Map freq = new HashMap();
    ...
    int count = freq.containsKey(word) ? freq.get(word) : 0;
    freq.put(word, count + 1);
    

### TestForNull
    
    
    import java.util.HashMap;
    import java.util.Map;
    ...
    Map freq = new HashMap();
    ...
    Integer count = freq.get(word);
    if (count == null) {
    freq.put(word, 1);
    }
    else {
    freq.put(word, count + 1);
    }
    

### AtomicLong
    
    
    import java.util.concurrent.ConcurrentHashMap;
    import java.util.concurrent.ConcurrentMap;
    import java.util.concurrent.atomic.AtomicLong;
    ...
    final ConcurrentMap map = 
    new ConcurrentHashMap();
    ...
    map.putIfAbsent(word, new AtomicLong(0));
    map.get(word).incrementAndGet();
    

### Trove
    
    
    import gnu.trove.TObjectIntHashMap;
    ...
    TObjectIntHashMap freq = new TObjectIntHashMap();
    ...
    freq.adjustOrPutValue(word, 1, 1);
    

### MutableInt
    
    
    import java.util.HashMap;
    import java.util.Map;
    ...
    class MutableInt {
    int value = 1; // note that we start at 1 since we're counting
    public void increment () { ++value; }
    public int get () { return value; }
    }
    ...
    Map freq = new HashMap();
    ...
    MutableInt count = freq.get(word);
    if (count == null) {
    freq.put(word, new MutableInt());
    }
    else {
    count.increment();
    }",HashMap,1
"What are the benefits of the Iterator interface in Java? 

I just learned about how the Java Collections Framework implements data structures in linked lists. From what I understand, `Iterators` are a way of traversing through the items in a data structure such as a list. Why is this interface used? Why are the methods `hasNext()`, `next()` and `remove()` not directly coded to the data structure implementation itself?

From the Java website: link text

> public interface Iterator<E>
> 
> An iterator over a collection. Iterator takes the place of Enumeration in the Java collections framework. Iterators differ from enumerations in two ways:
> 
>   * Iterators allow the caller to remove elements from the underlying collection during the iteration with well-defined semantics. 
>   * Method names have been improved.
This interface is a member of the Java Collections Framework.

I tried googling around and can't seem to find a definite answer. Can someone shed some light on why Sun chose to use them? Is it because of better design? Increased security? Good OO practice?

Any help will be greatly appreciated. Thanks.

> Why is this interface used?

Because it supports the basic operations that would allow a client programmer to iterate over any kind of collection (note: not necessarily a `Collection` in the `Object` sense).

> Why are the methods... not directly coded to the data structure implementation itself?

They are, they're just marked Private so you can't reach into them and muck with them. More specifically:

  * You can implement or subclass an `Iterator` such that it does something the standard ones don't do, without having to alter the actual object it iterates over.
  * Objects that can be traversed over don't need to have their interfaces cluttered up with traversal methods, in particular any highly specialized methods.
  * You can hand out `Iterators` to however many clients you wish, and each client may traverse in their own time, at their own speed.
  * Java `Iterators` from the java.util package in particular will throw an exception if the storage that backs them is modified while you still have an `Iterator` out. This exception lets you know that the `Iterator` may now be returning invalid objects.



For simple programs, none of this probably seems worthwhile. The kind of complexity that makes them useful will come up on you quickly, though.",Iterator,1
"What are the benefits of the Iterator interface in Java? 

I just learned about how the Java Collections Framework implements data structures in linked lists. From what I understand, `Iterators` are a way of traversing through the items in a data structure such as a list. Why is this interface used? Why are the methods `hasNext()`, `next()` and `remove()` not directly coded to the data structure implementation itself?

From the Java website: link text

> public interface Iterator<E>
> 
> An iterator over a collection. Iterator takes the place of Enumeration in the Java collections framework. Iterators differ from enumerations in two ways:
> 
>   * Iterators allow the caller to remove elements from the underlying collection during the iteration with well-defined semantics. 
>   * Method names have been improved.
This interface is a member of the Java Collections Framework.

I tried googling around and can't seem to find a definite answer. Can someone shed some light on why Sun chose to use them? Is it because of better design? Increased security? Good OO practice?

Any help will be greatly appreciated. Thanks.

> Why is this interface used?

Because it supports the basic operations that would allow a client programmer to iterate over any kind of collection (note: not necessarily a `Collection` in the `Object` sense).

> Why are the methods... not directly coded to the data structure implementation itself?

They are, they're just marked Private so you can't reach into them and muck with them. More specifically:

  * You can implement or subclass an `Iterator` such that it does something the standard ones don't do, without having to alter the actual object it iterates over.
  * Objects that can be traversed over don't need to have their interfaces cluttered up with traversal methods, in particular any highly specialized methods.
  * You can hand out `Iterators` to however many clients you wish, and each client may traverse in their own time, at their own speed.
  * Java `Iterators` from the java.util package in particular will throw an exception if the storage that backs them is modified while you still have an `Iterator` out. This exception lets you know that the `Iterator` may now be returning invalid objects.



For simple programs, none of this probably seems worthwhile. The kind of complexity that makes them useful will come up on you quickly, though.",Object,1
"What are the benefits of the Iterator interface in Java? 

I just learned about how the Java Collections Framework implements data structures in linked lists. From what I understand, `Iterators` are a way of traversing through the items in a data structure such as a list. Why is this interface used? Why are the methods `hasNext()`, `next()` and `remove()` not directly coded to the data structure implementation itself?

From the Java website: link text

> public interface Iterator<E>
> 
> An iterator over a collection. Iterator takes the place of Enumeration in the Java collections framework. Iterators differ from enumerations in two ways:
> 
>   * Iterators allow the caller to remove elements from the underlying collection during the iteration with well-defined semantics. 
>   * Method names have been improved.
This interface is a member of the Java Collections Framework.

I tried googling around and can't seem to find a definite answer. Can someone shed some light on why Sun chose to use them? Is it because of better design? Increased security? Good OO practice?

Any help will be greatly appreciated. Thanks.

The java.util.Iterator interface is used in the Java Collections Framework to allow modification of the collection while still iterating through it. If you just want to cleanly iterate over an entire collection, use a for-each instead, but a upside of Iterators is the functionality that you get: a optional remove() operation, and even better for the List Iterator interface, which offers add() and set() operations too. Both of these interfaces allow you to iterate over a collection and changing it structurally at the same time. Trying to modify a collection while iterating through it with a for-each would throw a ConcurrentModificationException, usually because the collection is unexpectedly modified!

Take a look at the ArrayList class

It has 2 private classes inside it (inner classes) called Itr and ListItr

They implement Iterator and the ListIterator interfaces respectively

public class ArrayList..... { //enclosing class
    
    
     private class Itr implements Iterator {
    public E next() {
    return ArrayList.this.get(index++); //rough, not exact
    }
    //we have to use ArrayList.this.get() so the compiler will
    //know that we are referring to the methods in the 
    //enclosing ArrayList class
    public void remove() {
    ArrayList.this.remove(prevIndex);
    }
    //checks for...co mod of the list
    final void checkForComodification() { //ListItr gets this method as well
    if (ArrayList.this.modCount != expectedModCount) { 
    throw new ConcurrentModificationException();
    }
    }
    }
    private class ListItr extends Itr implements ListIterator {
    //methods inherted....
    public void add(E e) {
    ArrayList.this.add(cursor, e);
    }
    public void set(E e) {
    ArrayList.this.set(cursor, e);
    }
    }
    

}

When you call the methods iterator() and listIterator(), they return a new instance of the private class Itr or ListItr, and since these inner classes are ""within"" the enclosing ArrayList class, they can freely modify the ArrayList without triggering a ConcurrentModificationException, unless you change the list at the same time (conccurently) through set() add() or remove() methods of the ArrayList class.",ArrayList,0
"How do you query object collections in Java (Criteria/SQL-like)? 

Suppose you have a collection of a few hundred in-memory objects and you need to query this List to return objects matching some SQL or Criteria like query. For example, you might have a List of Car objects and you want to return all cars made during the 1960s, with a license plate that starts with AZ, ordered by the name of the car model. 

I know about JoSQL, has anyone used this, or have any experience with other/homegrown solutions?

The `Comparator` option is not bad, especially if you use anonymous classes (so as not to create redundant classes in the project), but eventually when you look at the flow of comparisons, it's pretty much just like looping over the entire collection yourself, specifying exactly the conditions for matching items:
    
    
    if (Car car : cars) {
    if (1959 < car.getYear() && 1970 > car.getYear() &&
    car.getLicense().startsWith(""AZ"")) {
    result.add(car);
    }
    }
    

Then there's the sorting... that might be a pain in the backside, but luckily there's class `Collections` and its `sort` methods, one of which receives a `Comparator`...",Collections,0
"Why aren't Java Collections remove methods generic? 

Why isn't Collection.remove(Object o) generic? 

Seems like `Collection` could have `boolean remove(E o);`

Then, when you accidentally try to remove (for example) `Set` instead of each individual String from a `Collection`, it would be a compile time error instead of a debugging problem later.

Josh Bloch and Bill Pugh refer to this issue in Java Puzzlers IV: The Phantom Reference Menace, Attack of the Clone, and Revenge of The Shift.

Josh Bloch says (6:41) that they attempted to generify the get method of Map, remove method and some other, but ""it simply didn't work"".

There are too many reasonable programs that could not be generified if you only allow the generic type of the collection as parameter type. The example given by him is an intersection of a `List` of `Number`s and a `List` of `Long`s.",List,1
"Why aren't Java Collections remove methods generic? 

Why isn't Collection.remove(Object o) generic? 

Seems like `Collection` could have `boolean remove(E o);`

Then, when you accidentally try to remove (for example) `Set` instead of each individual String from a `Collection`, it would be a compile time error instead of a debugging problem later.

Because it would break existing (pre-Java5) code. e.g.,
    
    
    Set stringSet = new HashSet();
    // do some stuff...
    Object o = ""foobar"";
    stringSet.remove(o);
    

Now you might say the above code is wrong, but suppose that o came from a heterogeneous set of objects (i.e., it contained strings, number, objects, etc.). You want to remove all the matches, which was legal because remove would just ignore the non-strings because they were non-equal. But if you make it remove(String o), that no longer works.",HashSet,0
"Why aren't Java Collections remove methods generic? 

Why isn't Collection.remove(Object o) generic? 

Seems like `Collection` could have `boolean remove(E o);`

Then, when you accidentally try to remove (for example) `Set` instead of each individual String from a `Collection`, it would be a compile time error instead of a debugging problem later.

Another reason is because of interfaces. Here is an example to show it :
    
    
    public interface A {}
    public interface B {}
    public class MyClass implements A, B {}
    public static void main(String[] args) {
    Collection collection = new ArrayList<>();
    MyClass item = new MyClass();
    collection.add(item); // works fine
    B b = item; // valid
    collection.remove(b); /* It works because the remove method accepts an Object. If it was generic, this would not work */
    }",Collection,0
"Why aren't Java Collections remove methods generic? 

Why isn't Collection.remove(Object o) generic? 

Seems like `Collection` could have `boolean remove(E o);`

Then, when you accidentally try to remove (for example) `Set` instead of each individual String from a `Collection`, it would be a compile time error instead of a debugging problem later.

Another reason is because of interfaces. Here is an example to show it :
    
    
    public interface A {}
    public interface B {}
    public class MyClass implements A, B {}
    public static void main(String[] args) {
    Collection collection = new ArrayList<>();
    MyClass item = new MyClass();
    collection.add(item); // works fine
    B b = item; // valid
    collection.remove(b); /* It works because the remove method accepts an Object. If it was generic, this would not work */
    }",Object,0
